               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  71,             0.01373,           0.0063718,           0.0033291,             0.99923,                   1,               0.995,             0.92284,           0.0076028,           0.0026602,           0.0009039,             0.00307,             0.00307,             0.00307
                  72,            0.014167,           0.0067477,           0.0029313,             0.99948,                   1,               0.995,             0.92065,           0.0076986,           0.0025238,          0.00086146,            0.002971,            0.002971,            0.002971
                  73,            0.013471,           0.0064093,           0.0032055,             0.99963,                   1,               0.995,             0.91469,           0.0079651,           0.0026236,           0.0008192,            0.002872,            0.002872,            0.002872
                  74,            0.014239,           0.0065016,           0.0029845,             0.99948,                   1,               0.995,             0.92207,            0.007907,           0.0026372,          0.00088368,            0.002773,            0.002773,            0.002773
                  75,            0.014081,           0.0066516,           0.0034124,             0.99948,                   1,               0.995,             0.91561,           0.0077041,           0.0026815,          0.00086847,            0.002674,            0.002674,            0.002674
                  76,            0.013244,           0.0065104,           0.0035145,             0.99944,                   1,               0.995,             0.92372,           0.0074929,           0.0024675,          0.00081722,            0.002575,            0.002575,            0.002575
                  77,            0.013286,            0.006577,           0.0032212,             0.99935,             0.99991,               0.995,             0.92012,           0.0074932,           0.0025598,          0.00073732,            0.002476,            0.002476,            0.002476
                  78,            0.013153,           0.0064101,           0.0033578,             0.99962,                   1,               0.995,             0.92311,            0.007546,           0.0025771,          0.00075241,            0.002377,            0.002377,            0.002377
                  79,            0.012877,           0.0061816,           0.0032194,             0.99948,                   1,               0.995,             0.92147,           0.0074911,           0.0025419,          0.00074289,            0.002278,            0.002278,            0.002278
                  80,              0.0127,           0.0063288,            0.003097,              0.9996,                   1,               0.995,             0.92698,           0.0073167,           0.0024818,          0.00070793,            0.002179,            0.002179,            0.002179
                  81,             0.01248,           0.0063511,           0.0032674,             0.99963,                   1,               0.995,             0.92968,           0.0069446,           0.0024022,          0.00073313,             0.00208,             0.00208,             0.00208
                  82,            0.012843,           0.0064979,           0.0035614,             0.99882,              0.9992,               0.995,             0.93173,           0.0069711,            0.002463,          0.00073622,            0.001981,            0.001981,            0.001981
                  83,            0.012295,           0.0060671,           0.0030513,             0.99969,                   1,               0.995,             0.92885,           0.0070394,           0.0025269,          0.00066119,            0.001882,            0.001882,            0.001882
                  84,            0.012267,           0.0060945,           0.0027142,             0.99958,                   1,               0.995,             0.92597,           0.0069864,           0.0025038,          0.00065136,            0.001783,            0.001783,            0.001783
                  85,            0.012029,           0.0063412,           0.0026001,             0.99958,                   1,               0.995,             0.93277,           0.0068038,           0.0024111,          0.00063626,            0.001684,            0.001684,            0.001684
                  86,            0.011802,            0.006053,           0.0029629,             0.99951,                   1,               0.995,             0.93341,           0.0067389,           0.0023682,          0.00062905,            0.001585,            0.001585,            0.001585
                  87,            0.011862,           0.0060664,           0.0025946,             0.99948,                   1,               0.995,             0.93493,           0.0067854,           0.0023593,          0.00058809,            0.001486,            0.001486,            0.001486
                  88,            0.011606,           0.0059072,           0.0027479,             0.99957,                   1,               0.995,             0.93164,           0.0067367,           0.0023731,           0.0005514,            0.001387,            0.001387,            0.001387
                  89,            0.011449,           0.0059459,           0.0023498,             0.99969,                   1,               0.995,             0.92943,           0.0068114,           0.0023884,          0.00054201,            0.001288,            0.001288,            0.001288
                  90,            0.011512,            0.005964,           0.0028254,              0.9997,                   1,               0.995,             0.93651,           0.0066649,           0.0023268,          0.00052069,            0.001189,            0.001189,            0.001189
                  91,            0.011054,           0.0057895,           0.0027508,             0.99969,                   1,               0.995,             0.93417,           0.0066213,           0.0023685,          0.00050595,             0.00109,             0.00109,             0.00109
                  92,            0.011119,           0.0058703,           0.0022961,             0.99966,                   1,               0.995,              0.9383,           0.0065097,           0.0023326,          0.00047789,            0.000991,            0.000991,            0.000991
                  93,            0.011177,           0.0057857,           0.0028202,             0.99957,                   1,               0.995,             0.93665,            0.006401,           0.0023429,          0.00046306,            0.000892,            0.000892,            0.000892
                  94,            0.011085,           0.0059776,           0.0027899,             0.99962,                   1,               0.995,             0.93957,           0.0063655,           0.0023504,          0.00045806,            0.000793,            0.000793,            0.000793
                  95,             0.01065,           0.0059077,           0.0026012,             0.99966,                   1,               0.995,             0.94111,           0.0063592,           0.0022932,          0.00045197,            0.000694,            0.000694,            0.000694
                  96,            0.010542,           0.0058717,           0.0021182,             0.99965,                   1,               0.995,             0.94313,           0.0063738,           0.0023395,          0.00043168,            0.000595,            0.000595,            0.000595
                  97,            0.010428,           0.0055728,           0.0022421,             0.99969,                   1,               0.995,             0.93895,           0.0063592,           0.0023603,          0.00041083,            0.000496,            0.000496,            0.000496
                  98,            0.010732,           0.0057958,           0.0024326,             0.99967,                   1,               0.995,             0.94046,           0.0062167,           0.0023213,          0.00039737,            0.000397,            0.000397,            0.000397
                  99,            0.010325,           0.0057037,            0.002278,             0.99966,                   1,               0.995,             0.94138,           0.0061973,           0.0022836,          0.00039248,            0.000298,            0.000298,            0.000298
